Size,BM,Const,Mktrf,SMB,HML,RMW,CMA,R-squared
1.0,1.0,0.014534841714749665,1.235100104872316,-1.1687626810349263,0.9681163624124736,0.6516865165230201,1.047107268377898,0.9337918562169897
1.0,2.0,-0.0017775116238605486,0.9324275291599751,-1.051284428693093,1.0879592021553295,0.3921488368214483,0.6368518570018538,0.9727177143779112
1.0,3.0,-0.014674479021786755,-0.34395850668134315,-0.014018393263655837,0.9227561302210544,-0.5359565797085053,0.4999588661830997,0.9555673339273532
1.0,4.0,-0.011564378350347843,-0.6364401596101359,-0.295204791080476,0.8706576733487451,-1.0434243692089407,0.13740442406377304,0.937013300842991
1.0,5.0,0.009791517390477142,0.09337645775451071,-1.8056356477377968,1.0442132936440527,0.1292152677445481,-0.7557534212746011,0.966858110153801
2.0,1.0,0.0013013588855799196,0.22984839851977712,-0.22230545597565168,1.0199352532248906,-0.001461108191352034,1.0297107070201093,0.9666958915208093
2.0,2.0,-0.0015628257419223021,-0.13798775014140505,-0.10974548155159508,1.005233944778071,-0.2693626697246419,0.8878722773990738,0.9513812932194295
2.0,3.0,-0.013091707406165916,-0.7380205533451815,0.29680600736599216,0.9632555714115554,-0.8387531885101394,0.5577740851014467,0.917572082220957
2.0,4.0,-0.0037114122635255684,-0.8732586319657516,0.2093354847304541,0.6672901141216451,-1.143356767170208,0.1913006640753122,0.9409843622065603
2.0,5.0,0.01599829413531936,-0.35307598789143246,-0.5529560346926317,0.6242978495877259,0.11344944377758157,0.03222247556617276,0.6155980268609441
3.0,1.0,0.0014483241935860074,0.5486435151173294,-0.5090693862971483,1.2516419452786864,0.6859912659148769,1.2184210980536145,0.9656559988032963
3.0,2.0,-0.0031259097687565355,0.188282037602852,-0.21513907468440985,0.8548977113973486,-0.334595358628064,0.5042428559087652,0.9516834211417597
3.0,3.0,-0.002975731395671571,-0.5543185503165903,0.17423757363958092,0.8509971843177245,-0.6139212098439276,0.5247029781999095,0.9508443586976234
3.0,4.0,-0.004467045248416681,-0.809501491744906,0.29566330662607254,0.7710842048821533,-0.9959567753401724,0.27952918630159274,0.8951644419377387
3.0,5.0,0.003131500431316814,-0.2893691050772541,-0.5405752743971337,0.9994046734444917,-0.37991745864028625,-0.4147326671084368,0.8640887427505144
4.0,1.0,0.0018167603747511986,-0.19832772692377515,0.03381031071848828,1.0823392600465764,-0.13061401495369543,1.0147401670881484,0.9735518337745844
4.0,2.0,0.004614308103008048,-0.20142393238357897,0.053113902814652364,0.9864263600164381,-0.12450880798946629,0.9010967006761397,0.9579576473687041
4.0,3.0,-0.0018619850903819775,0.01230790908611118,0.039962380178490464,0.9137716026279724,-0.2379417108914029,0.5630632934124387,0.941997647575543
4.0,4.0,-0.003434406528313561,-0.6295760470465565,0.44343867855591557,0.9190570000392005,-0.7310599999640742,0.36260069806068784,0.867061728798105
4.0,5.0,-0.001580026978964288,-0.29674658779323926,0.0597318668375838,1.0424721725311796,-0.12583969772350379,-0.19312761009576043,0.7539385073545801
5.0,1.0,0.006382709235466478,0.08768148727314462,-0.20409898141565969,1.0070731623870306,0.1222959987482821,1.0139329325795836,0.9368022734623352
5.0,2.0,0.0083166803659529,-0.2933109278167635,0.08220369974052746,0.8476067238910666,-0.6628788213845744,0.6020846322668374,0.9130632212140487
5.0,3.0,0.001389731666443233,0.33731725851718425,0.13950308851816184,0.8869995165276918,-0.25495818608017073,0.4364694558389255,0.9351764300382165
5.0,4.0,0.0013029040596689908,-0.729953317006753,1.1115937303760361,0.7694462958677931,-1.37888974494424,0.19220969544674357,0.9034238063043091
5.0,5.0,-0.0021368146212197413,0.5119203001312504,0.2966072323282486,1.0675869724612403,0.4025829008063915,-0.27877475208152863,0.9782538443709258
